date,S,K,tau,r,q,price,expiry,days,moneyness,session
2026-03-18,657.9335327148438,648.0,0.1178082191780822,0.03609999895095825,-0.05,32.345,2026-04-30,43,0.01532952579451196,in
2026-03-18,657.9335327148438,655.0,0.1178082191780822,0.03609999895095825,-0.05,27.17,2026-04-30,43,0.004478675900524809,in
2026-03-18,657.9335327148438,661.0,0.1178082191780822,0.03609999895095825,-0.05,22.925,2026-04-30,43,-0.004639133563020046,in
2026-03-18,657.9335327148438,668.0,0.1178082191780822,0.03609999895095825,-0.05,18.259999999999998,2026-04-30,43,-0.015069561804126122,in
2026-03-18,657.9335327148438,675.0,0.1178082191780822,0.03609999895095825,-0.05,14.065,2026-04-30,43,-0.02528365523726852,in
2026-03-18,657.9335327148438,681.0,0.1178082191780822,0.03609999895095825,-0.05,10.74,2026-04-30,43,-0.0338714644422265,in
2026-03-18,657.9335327148438,688.0,0.1178082191780822,0.03609999895095825,-0.05,7.4399999999999995,2026-04-30,43,-0.0437012605888899,in
2026-03-18,657.9335327148438,701.0,0.1178082191780822,0.03609999895095825,-0.05,3.09,2026-04-30,43,-0.06143575932261947,in
2026-03-18,657.9335327148438,714.0,0.1178082191780822,0.03609999895095825,-0.05,1.0,2026-04-30,43,-0.07852446398481268,in
2026-03-18,657.9335327148438,728.0,0.1178082191780822,0.03609999895095825,-0.05,0.28500000000000003,2026-04-30,43,-0.09624514736972012,in
2026-03-18,657.9335327148438,610.0,0.1589041095890411,0.03609999895095825,-0.05,67.14500000000001,2026-05-15,58,0.0785795618276127,in
2026-03-18,657.9335327148438,620.0,0.1589041095890411,0.03609999895095825,-0.05,58.46,2026-05-15,58,0.061183117282006046,in
2026-03-18,657.9335327148438,635.0,0.1589041095890411,0.03609999895095825,-0.05,46.065,2026-05-15,58,0.03611579955093504,in
2026-03-18,657.9335327148438,640.0,0.1589041095890411,0.03609999895095825,-0.05,42.08,2026-05-15,58,0.02802114486694336,in
2026-03-18,657.9335327148438,650.0,0.1589041095890411,0.03609999895095825,-0.05,34.495000000000005,2026-05-15,58,0.012205434945913462,in
2026-03-18,657.9335327148438,655.0,0.1589041095890411,0.03609999895095825,-0.05,30.835,2026-05-15,58,0.004478675900524809,in
2026-03-18,657.9335327148438,661.0,0.1589041095890411,0.03609999895095825,-0.05,26.545,2026-05-15,58,-0.004639133563020046,in
2026-03-18,657.9335327148438,668.0,0.1589041095890411,0.03609999895095825,-0.05,21.865000000000002,2026-05-15,58,-0.015069561804126122,in
2026-03-18,657.9335327148438,675.0,0.1589041095890411,0.03609999895095825,-0.05,17.535,2026-05-15,58,-0.02528365523726852,in
2026-03-18,657.9335327148438,681.0,0.1589041095890411,0.03609999895095825,-0.05,14.115,2026-05-15,58,-0.0338714644422265,in
2026-03-18,657.9335327148438,688.0,0.1589041095890411,0.03609999895095825,-0.05,10.565000000000001,2026-05-15,58,-0.0437012605888899,in
2026-03-18,657.9335327148438,701.0,0.1589041095890411,0.03609999895095825,-0.05,5.43,2026-05-15,58,-0.06143575932261947,in
2026-03-18,657.9335327148438,714.0,0.1589041095890411,0.03609999895095825,-0.05,2.355,2026-05-15,58,-0.07852446398481268,in
2026-03-18,657.9335327148438,730.0,0.1589041095890411,0.03609999895095825,-0.05,0.69,2026-05-15,58,-0.09872118806185788,in
2026-03-25,655.1322021484375,604.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,59.705,2026-04-24,30,0.0846559638219164,in
2026-03-25,655.1322021484375,617.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,47.55,2026-04-24,30,0.061802596674939224,in
2026-03-25,655.1322021484375,631.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,35.925,2026-04-24,30,0.0382443774143225,in
2026-03-25,655.1322021484375,637.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,31.22,2026-04-24,30,0.028464995523449766,in
2026-03-25,655.1322021484375,644.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,25.265,2026-04-24,30,0.017286028180803572,in
2026-03-25,655.1322021484375,650.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,21.740000000000002,2026-04-24,30,0.00789569561298077,in
2026-03-25,655.1322021484375,657.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,17.134999999999998,2026-04-24,30,-0.0028429191043569256,in
2026-03-25,655.1322021484375,663.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,13.475,2026-04-24,30,-0.011866965085312972,in
2026-03-25,655.1322021484375,670.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,9.655000000000001,2026-04-24,30,-0.022190743062033582,in
2026-03-25,655.1322021484375,677.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,6.395,2026-04-24,30,-0.03230103079994461,in
2026-03-25,655.1322021484375,683.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,4.135,2026-04-24,30,-0.04080204663479136,in
2026-03-25,655.1322021484375,696.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,1.17,2026-04-24,30,-0.05871810036144037,in
2026-03-25,655.1322021484375,709.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,0.3,2026-04-24,30,-0.07597714788654795,in
2026-03-25,655.1322021484375,725.0,0.0821917808219178,0.03619999885559082,-0.03367705783413767,0.11,2026-04-24,30,-0.09636937634698275,in
2026-03-25,655.1322021484375,605.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,60.385,2026-05-01,37,0.08286314404700414,in
2026-03-25,655.1322021484375,615.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,51.730000000000004,2026-05-01,37,0.06525561324949188,in
2026-03-25,655.1322021484375,631.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,38.379999999999995,2026-05-01,37,0.0382443774143225,in
2026-03-25,655.1322021484375,637.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,33.17,2026-05-01,37,0.028464995523449766,in
2026-03-25,655.1322021484375,644.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,28.005000000000003,2026-05-01,37,0.017286028180803572,in
2026-03-25,655.1322021484375,650.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,23.77,2026-05-01,37,0.00789569561298077,in
2026-03-25,655.1322021484375,657.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,19.165,2026-05-01,37,-0.0028429191043569256,in
2026-03-25,655.1322021484375,663.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,15.469999999999999,2026-05-01,37,-0.011866965085312972,in
2026-03-25,655.1322021484375,670.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,11.555,2026-05-01,37,-0.022190743062033582,in
2026-03-25,655.1322021484375,677.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,8.135,2026-05-01,37,-0.03230103079994461,in
2026-03-25,655.1322021484375,683.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,5.68,2026-05-01,37,-0.04080204663479136,in
2026-03-25,655.1322021484375,696.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,2.06,2026-05-01,37,-0.05871810036144037,in
2026-03-25,655.1322021484375,709.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,0.59,2026-05-01,37,-0.07597714788654795,in
2026-03-25,655.1322021484375,725.0,0.10136986301369863,0.03619999885559082,-0.02783717566038295,0.175,2026-05-01,37,-0.09636937634698275,in
2026-03-25,655.1322021484375,605.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,62.43,2026-05-15,51,0.08286314404700414,in
2026-03-25,655.1322021484375,615.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,53.95,2026-05-15,51,0.06525561324949188,in
2026-03-25,655.1322021484375,630.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,41.849999999999994,2026-05-15,51,0.039892384362599204,in
2026-03-25,655.1322021484375,635.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,38.004999999999995,2026-05-15,51,0.031704255351870075,in
2026-03-25,655.1322021484375,645.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,30.645000000000003,2026-05-15,51,0.015708840540213178,in
2026-03-25,655.1322021484375,650.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,27.185000000000002,2026-05-15,51,0.00789569561298077,in
2026-03-25,655.1322021484375,657.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,22.525,2026-05-15,51,-0.0028429191043569256,in
2026-03-25,655.1322021484375,663.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,18.775,2026-05-15,51,-0.011866965085312972,in
2026-03-25,655.1322021484375,670.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,14.735,2026-05-15,51,-0.022190743062033582,in
2026-03-25,655.1322021484375,677.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,11.120000000000001,2026-05-15,51,-0.03230103079994461,in
2026-03-25,655.1322021484375,683.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,8.41,2026-05-15,51,-0.04080204663479136,in
2026-03-25,655.1322021484375,696.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,3.955,2026-05-15,51,-0.05871810036144037,in
2026-03-25,655.1322021484375,709.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,1.525,2026-05-15,51,-0.07597714788654795,in
2026-03-25,655.1322021484375,725.0,0.13972602739726028,0.03619999885559082,-0.019666810080664683,0.455,2026-05-15,51,-0.09636937634698275,in
